                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.30717,                0.23557,                0.78046,                0.97592,                 0.9511,                0.97246,                0.88226,                 0.4137,                0.31361,                0.74457,              0.0006338,              0.0006338,              0.0006338
                     72,                0.30419,                0.23206,                0.78381,                0.97198,                0.95373,                 0.9749,                0.87769,                0.40265,                0.30018,                0.74577,               0.000614,               0.000614,               0.000614
                     73,                0.29927,                0.22849,                0.78056,                0.97488,                0.95029,                0.97252,                0.87551,                0.40054,                0.28792,                0.74845,              0.0005942,              0.0005942,              0.0005942
                     74,                0.29317,                0.22441,                0.78229,                0.97565,                0.94996,                0.97324,                0.87636,                0.41479,                0.29789,                0.74912,              0.0005744,              0.0005744,              0.0005744
                     75,                0.29923,                0.22665,                0.78326,                0.97769,                0.95209,                0.97449,                0.88459,                0.39185,                0.28615,                0.74451,              0.0005546,              0.0005546,              0.0005546
                     76,                0.29058,                0.22093,                0.78493,                0.97544,                0.95616,                0.97585,                0.87661,                0.39265,                0.29216,                0.73928,              0.0005348,              0.0005348,              0.0005348
                     77,                0.28887,                0.22211,                0.78183,                0.97101,                0.95409,                0.97392,                0.87007,                0.39945,                0.29069,                0.74378,               0.000515,               0.000515,               0.000515
                     78,                0.29577,                0.22354,                0.78009,                 0.9748,                0.94563,                0.97171,                0.88525,                0.38799,                0.29162,                0.74271,              0.0004952,              0.0004952,              0.0004952
                     79,                0.28956,                0.21846,                0.78163,                0.97452,                 0.9493,                0.97305,                0.88131,                0.39601,                0.29784,                0.74192,              0.0004754,              0.0004754,              0.0004754
                     80,                0.29639,                0.22362,                0.78348,                 0.9726,                 0.9537,                0.97357,                0.87843,                 0.4025,                0.29826,                 0.7436,              0.0004556,              0.0004556,              0.0004556
                     81,                0.29398,                  0.221,                0.78443,                0.97521,                0.95017,                0.97532,                0.88225,                 0.3852,                0.29575,                0.74347,              0.0004358,              0.0004358,              0.0004358
                     82,                0.27691,                0.21221,                0.78169,                0.97613,                 0.9543,                0.97642,                0.88775,                0.38596,                 0.2938,                0.74332,               0.000416,               0.000416,               0.000416
                     83,                0.28473,                0.21581,                0.78662,                0.97512,                0.94806,                0.97333,                0.88414,                0.38725,                0.28935,                0.74317,              0.0003962,              0.0003962,              0.0003962
                     84,                 0.2789,                0.21296,                0.78405,                 0.9742,                 0.9529,                0.97421,                0.88242,                 0.3953,                0.29247,                0.74253,              0.0003764,              0.0003764,              0.0003764
                     85,                0.28082,                0.21168,                0.78312,                0.97473,                0.95275,                0.97441,                0.88326,                0.38267,                0.29012,                0.74291,              0.0003566,              0.0003566,              0.0003566
                     86,                0.27586,                0.20971,                0.78145,                0.97303,                 0.9539,                0.97321,                0.88214,                0.38457,                0.29229,                0.74065,              0.0003368,              0.0003368,              0.0003368
                     87,                0.27563,                0.21062,                0.77782,                0.97209,                0.95346,                0.97345,                0.88305,                0.39163,                0.30214,                0.74304,               0.000317,               0.000317,               0.000317
                     88,                0.28026,                0.21135,                0.78062,                0.97363,                0.95099,                 0.9738,                0.87733,                0.40078,                0.29461,                0.74596,              0.0002972,              0.0002972,              0.0002972
                     89,                0.27553,                0.21017,                0.78134,                0.97412,                0.95166,                0.97462,                0.87899,                0.38889,                0.29424,                0.74509,              0.0002774,              0.0002774,              0.0002774
                     90,                0.26709,                0.20412,                0.77598,                0.97246,                 0.9531,                0.97412,                0.87663,                0.39836,                0.29282,                0.74554,              0.0002576,              0.0002576,              0.0002576
                     91,                0.26202,                0.20501,                0.76977,                0.97179,                0.95321,                0.97351,                0.87659,                0.40652,                0.29946,                0.74916,              0.0002378,              0.0002378,              0.0002378
                     92,                0.25087,                0.19913,                0.77251,                0.97336,                0.95023,                0.97234,                0.87539,                0.39637,                0.29658,                0.74433,               0.000218,               0.000218,               0.000218
                     93,                0.25084,                0.19589,                0.77194,                0.97288,                0.95017,                0.97312,                0.87483,                0.40753,                0.29204,                0.74539,              0.0001982,              0.0001982,              0.0001982
                     94,                0.24759,                0.19357,                 0.7686,                0.97415,                0.94669,                0.97291,                0.87759,                0.39875,                0.28424,                0.74487,              0.0001784,              0.0001784,              0.0001784
                     95,                0.24149,                0.19013,                0.76978,                0.97576,                0.95135,                 0.9736,                0.87855,                0.39987,                0.28433,                0.74506,              0.0001586,              0.0001586,              0.0001586
                     96,                0.24354,                 0.1914,                0.77151,                0.97645,                0.94998,                0.97409,                0.88119,                0.40011,                0.28444,                0.74876,              0.0001388,              0.0001388,              0.0001388
                     97,                0.24227,                0.19038,                0.77256,                0.97683,                0.95223,                0.97392,                0.87897,                0.39963,                0.28897,                0.74778,               0.000119,               0.000119,               0.000119
                     98,                0.23445,                0.18543,                0.77093,                0.97594,                0.95246,                0.97436,                 0.8847,                0.39428,                0.28562,                0.74518,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.23107,                0.18466,                0.77086,                0.97683,                0.95178,                0.97462,                0.88139,                0.39396,                0.28081,                0.74595,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.22712,                0.18279,                0.77179,                0.97585,                0.95271,                0.97485,                0.88572,                0.38707,                0.27878,                 0.7453,               5.96e-05,               5.96e-05,               5.96e-05
